City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,qamdo,31.1667,97.2333,0.56,56,99,3.94,CN,1742152480
83,fort st. john,56.2499,-120.8529,-10.06,79,100,2.06,CA,1742152481
84,selfoss,63.9331,-20.9971,6.41,87,100,4.36,IS,1742152482
85,khandyga,62.6667,135.6,-30.41,100,88,0.86,RU,1742152484
86,margaret river,-33.95,115.0667,14.5,75,0,5.28,AU,1742152485
87,hawaiian paradise park,19.5933,-154.9731,22.63,96,32,0.89,US,1742152486
88,puerto natales,-51.7236,-72.4875,15.25,51,75,3.6,CL,1742152488
89,voronovytsya,49.1095,28.6808,3.92,57,100,2.97,UA,1742152489
90,tanakpur,29.0833,80.1167,18.35,56,2,3.81,IN,1742152491
91,port alfred,-33.5906,26.891,18.99,91,81,1.34,ZA,1742152492
92,falmouth,50.1544,-5.0711,6.32,60,38,1.54,GB,1742152493
93,nemuro,43.3236,145.575,-1.96,95,100,12.87,JP,1742152495
94,hermanus,-34.4187,19.2345,17.11,89,100,1.63,ZA,1742152497
95,fale old settlement,-9.3852,-171.2468,28.35,78,100,6.88,TK,1742152499
96,saudarkrokur,65.7461,-19.6394,4.03,84,100,6.81,IS,1742152501
97,st. john's,47.5649,-52.7093,1.27,86,100,0.89,CA,1742152506
98,uturoa,-16.7333,-151.4333,28.18,75,40,6.12,PF,1742152508
99,puerto ayora,-0.7393,-90.3518,29.19,87,36,2.24,EC,1742152509
100,roma,43.2128,-75.4557,20.38,63,100,6.69,US,1742152513
101,petropavlovsk-kamchatsky,53.0452,158.6483,-10.67,41,0,2.0,RU,1742152515
102,qaqortoq,60.7167,-46.0333,-3.13,87,100,2.74,GL,1742152516
103,aketi,2.7388,23.7833,22.85,92,100,1.24,CD,1742152517
104,queenstown,-31.8976,26.8753,16.56,85,28,1.57,ZA,1742152518
105,baikonur,45.6167,63.3167,11.23,43,60,3.91,KZ,1742152520
106,luderitz,-26.6481,15.1594,18.61,74,0,8.63,NA,1742152521
107,erseke,40.3378,20.6789,7.42,89,0,2.0,AL,1742152523
108,dudinka,69.4058,86.1778,-11.03,87,55,8.33,RU,1742152525
109,lahad datu,5.0268,118.327,23.92,95,100,2.85,MY,1742152526
110,ar rahad,12.7167,30.65,28.91,16,6,4.02,SD,1742152528
111,nouadhibou,20.931,-17.0347,23.99,41,0,8.23,MR,1742152484
112,omdurman,15.6445,32.4777,30.9,12,6,5.39,SD,1742152530
